city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Filename,Caption,Detected Objects_x,Entity Labels,Entity Texts,GeoTopic Name,GeoTopic Latitude,GeoTopic Longitude,Detected Objects_y
Pittsburgh,United States,"On this road at night a bluish mist forms over the road. There is also a cemetery on this street. Two headstones touch every full moon. And when the full moon is over, they don't touch anymore.",Blue Mist Road,Pennsylvania,PA,-80.0007986,40.6075379,-79.9958864,40.44062479999999,False,False,2025/01/01,0,Night,Other (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,On_this_road_at_night_a_bluish_mist_forms_over_the.png,a black and white photo of a snow covered street .,"pole (0.59), crane (0.08), traffic light, traffic signal, stoplight (0.07), spotlight, spot (0.03), wing (0.02)","['TIME', 'CARDINAL']","['night', 'Two']",,,,"pole (0.59), crane (0.08), traffic light, traffic signal, stoplight (0.07), spotlight, spot (0.03), wing (0.02)"
Pittsburgh,United States,"Old mansion, turned administration building. Story has it the Byers family went out to a dinner party, left the baby home with the nanny. The nanny went to check up on the baby and she found the baby dead in her crib. The nanny was so distraught, she hung herself. The parents came home later that night and found the nanny hanging over the staircase and the ghost of their dead baby looking at her. The second floor is closed off, however there is a window you can look up into and some say that you can still see the nanny hanging there with the baby looking at her.","Byers Hall, CCAC North Campus",Pennsylvania,PA,-80.01612329999999,40.4497346,-79.9958864,40.44062479999999,False,True,2025/01/01,0,Night,Ghost (Male),Death,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Old_mansion__turned_administration_building__Story.png,a building with a clock on the top of it .,"palace (0.88), monastery (0.03)","['PERSON', 'PERSON', 'TIME', 'ORDINAL']","['Story', 'Byers', 'later that night', 'second']",,,,"palace (0.88), monastery (0.03)"
Pittsburgh,United States,This library was built over a old cemetery and believed at night spirits haunt it.,Carnegie Library,Pennsylvania,PA,-79.9504321,40.4428299,-79.9958864,40.44062479999999,False,False,0509/02/13,0,Night,Ghost (Male),Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,This_library_was_built_over_a_old_cemetery_and_bel.png,a tall building with a clock on it,"church, church building (0.80), monastery (0.03), analog clock (0.02), bell cote, bell cot (0.02)",['TIME'],['night'],Carnegie Library,18.46645,-66.10851,"church, church building (0.80), monastery (0.03), analog clock (0.02), bell cote, bell cot (0.02)"
Pittsburgh,United States,"Room 947 - Late at night, students have reported seeing misty apparitions. They also hear scratching noises on the walls. Lights have also be said to turn on by themsleves.",Carlow College,Pennsylvania,PA,-79.96391450000002,40.4394832,-79.9958864,40.44062479999999,True,True,2025/05/13,2,Night,"Ghost (Male, student)",Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Room_947___Late_at_night__students_have_reported_s.png,a person standing in front of a mirror in a room .,"prison, prison house (0.38), sliding door (0.07), spotlight, spot (0.06), shoji (0.06), wardrobe, closet, press (0.06)",['TIME'],['night'],,,,"prison, prison house (0.38), sliding door (0.07), spotlight, spot (0.06), shoji (0.06), wardrobe, closet, press (0.06)"
Pittsburgh,United States,Unknown spirits haunt this building. This is mainly on the top floor of it.,Cathedral of Learning,Pennsylvania,PA,-79.953239,40.4442526,-79.9958864,40.44062479999999,False,False,2042/03/13,0,Unknown,Ghost (Male),Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Unknown_spirits_haunt_this_building__This_is_mainl.png,a bedroom with a bed and a window .,"theater curtain, theatre curtain (0.18), four-poster (0.13), shoji (0.12), home theater, home theatre (0.11), sliding door (0.05)",,,,,,"theater curtain, theatre curtain (0.18), four-poster (0.13), shoji (0.12), home theater, home theatre (0.11), sliding door (0.05)"
Pittsburgh,United States,"In the basement of the Mellon building is a pool and bowling alley. It is known mostly to lifeguards that work at the pool. Andrew Mellon haunts the bowling alley, it is usually very cold in the room. One gets a very creepy feeling. If you don't want to experience anything don't bowl! At times the pins will resent themselves as if taunting you to keep playing.",Chatham College,Pennsylvania,PA,-79.9242625,40.4482193,-79.9958864,40.44062479999999,False,False,2015/03/13,0,Unknown,Unknown (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,In_the_basement_of_the_Mellon_building_is_a_pool_a.png,a black and white photo of a train station .,"bannister, banister, balustrade, balusters, handrail (0.33), shoji (0.14), prison, prison house (0.06), sliding door (0.04), church, church building (0.02)","['ORG', 'PERSON', 'CARDINAL', 'NORP']","['Mellon', 'Andrew Mellon', 'One', 'creepy']",Chatham College Contractor Postal Unit,40.44721,-79.92481,"bannister, banister, balustrade, balusters, handrail (0.33), shoji (0.14), prison, prison house (0.06), sliding door (0.04), church, church building (0.02)"
Pittsburgh,United States,"The neighborhood that was demolished to build the arena is said to come alive at night. The whole dome suddenly filling with the sounds of people, streetcars and car horns. Mario Lemieux, star player for the Pgh Penguins has said he’s seen shadowy guys in 1920s clothes mulling about in the halls.",Civic Arena,Pennsylvania,PA,-79.9893378,40.4395932,-79.9958864,40.44062479999999,True,True,2025/05/13,2,Night,Unknown (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,The_neighborhood_that_was_demolished_to_build_the.png,a group of people on a field with a horse .,planetarium (0.97),"['TIME', 'PERSON', 'ORG', 'DATE']","['night', 'Mario Lemieux', 'the Pgh Penguins', '1920s']",Civic Arena,40.44174,-79.98978,planetarium (0.97)
Pittsburgh,United States,"This asylum will soon be turned into a Wal-Mart. Strange noises can be heard there. Be careful, they have video cameras and the police will arrest you.",Dixmont,Pennsylvania,PA,,,-79.9958864,40.44062479999999,True,True,2025/05/13,1,Unknown,Unknown (Male),Mystery,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,This_asylum_will_soon_be_turned_into_a_Wal_Mart__S.png,a black and white photo of a building and a street sign,"prison, prison house (0.20), viaduct (0.16), water tower (0.11), monastery (0.07), mobile home, manufactured home (0.05)",['ORG'],['Wal-Mart'],Dixmont,48.08278,3.41389,"prison, prison house (0.20), viaduct (0.16), water tower (0.11), monastery (0.07), mobile home, manufactured home (0.05)"
Pittsburgh,United States,Lots of ghosts of formal mental patients who died there.,Dixmont Mental Hospital,Pennsylvania,PA,-79.9600024,40.4437724,-79.9958864,40.44062479999999,False,False,2025/01/01,0,Unknown,Ghost (Male),Death,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Lots_of_ghosts_of_formal_mental_patients_who_died.png,a black and white photo of a person sitting on a bench,"shopping cart (0.75), prison, prison house (0.08), rocking chair, rocker (0.05)",,,,,,"shopping cart (0.75), prison, prison house (0.08), rocking chair, rocker (0.05)"
Pittsburgh,United States,St. Ann's Living Learning Center - Room 409 - A boy walks into the room and throws things around the room.,Duquesne University,Pennsylvania,PA,-79.9901728,40.4372949,-79.9958864,40.44062479999999,False,False,1878/10/13,0,Unknown,Unknown (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,St__Ann_s_Living_Learning_Center___Room_409___A_bo.png,a living room filled with furniture and a fire place .,"shoji (0.22), studio couch, day bed (0.05), tub, vat (0.04), swab, swob, mop (0.04), electric fan, blower (0.03)",['ORG'],"[""St. Ann's""]",,,,"shoji (0.22), studio couch, day bed (0.05), tub, vat (0.04), swab, swob, mop (0.04), electric fan, blower (0.03)"
Pittsburgh,United States,is haunted by Sarah Frick.,Frick mansion,Pennsylvania,PA,-79.9023718,40.4466602,-79.9958864,40.44062479999999,False,False,2025/01/01,0,Unknown,Ghost,Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,is_haunted_by_Sarah_Frick_.png,a church with a steeple and a clock tower .,"church, church building (0.89), barn (0.04)",['PERSON'],['Sarah Frick'],,,,"church, church building (0.89), barn (0.04)"
Pittsburgh,United States,The Battle of Grant's Hill was fought at this location during the French & Indian War in 1758.Security Guards have seen people on the monitors that were not there. Objects have disappeared from the museum. Strange sounds have been heard from empty parts of the museum. A re-enactor was murdered there during the early 1970's.,Fort Pitt Museum(Point State Park),Pennsylvania,PA,-80.0094664,40.4409302,-79.9958864,40.44062479999999,True,True,1758/03/13,2,Unknown,"Unknown (Male, actor)",Murder,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,The_Battle_of_Grant_s_Hill_was_fought_at_this_loca.png,a group of people sitting in a living room .,"four-poster (0.43), barbell (0.08), pole (0.06), dumbbell (0.05), prison, prison house (0.02)","['WORK_OF_ART', 'ORG', 'NORP', 'DATE']","[""The Battle of Grant's Hill"", 'the French & Indian War', 'Guards', ""the early 1970's""]",Fort Bend County,29.52749,-95.77089,"four-poster (0.43), barbell (0.08), pole (0.06), dumbbell (0.05), prison, prison house (0.02)"
Pittsburgh,United States,"Apparitions of a noose that swings, hear a father calling for his son.",hell's tunnel,Pennsylvania,PA,,,-79.9958864,40.44062479999999,True,False,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Apparitions_of_a_noose_that_swings__hear_a_father.png,a woman sitting on a couch holding a wii remote .,"spotlight, spot (0.15), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.09), microphone, mike (0.06), book jacket, dust cover, dust jacket, dust wrapper (0.03), binoculars, field glasses, opera glasses (0.03)",,,,,,"spotlight, spot (0.15), hand blower, blow dryer, blow drier, hair dryer, hair drier (0.09), microphone, mike (0.06), book jacket, dust cover, dust jacket, dust wrapper (0.03), binoculars, field glasses, opera glasses (0.03)"
Pittsburgh,United States,"A woman use to work at ICM for 20 yrs ever since it opened, well no one liked her and she was going for a supervisor job but the administrators at that time threatened her to not take the position cause one of the ones that worked there wanted her husband as the Supervisor. Well, one day they all went up to her office at night and her door was shut, when they walked in she had a heart attack and died in the school. Ever since then she haunts the school at night a ghost apparition of a woman has been seen there roaming the halls at night.",ICM School Of Business and Medical Careers,Pennsylvania,PA,-79.9969172,40.4442744,-79.9958864,40.44062479999999,True,True,2025/03/20,1,Night,Ghost (Male),Death,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,A_woman_use_to_work_at_ICM_for_20_yrs_ever_since_i.png,a black and white photo of a city street,"picket fence, paling (0.27), church, church building (0.09), spotlight, spot (0.07), prison, prison house (0.05), bannister, banister, balustrade, balusters, handrail (0.04)","['ORG', 'CARDINAL', 'DATE', 'TIME', 'TIME']","['ICM', '20', 'one day', 'night', 'night']",,,,"picket fence, paling (0.27), church, church building (0.09), spotlight, spot (0.07), prison, prison house (0.05), bannister, banister, balustrade, balusters, handrail (0.04)"
Pittsburgh,United States,"This building, in the Stripped District of Pittsburgh, was once site of the Chautauqua Lake Ice Co, which exploded due to fire on February 9, 1898. The building has since been renovated and now houses the John Heinz History Center. Several staff members, including night security guards, have witnessed strange sights and sounds there. Most activity seems to center around the 5th floor (used as storage/archives) and the loading dock area. Spirits have been known to occupy and interact with the exhibits there. The History Center is open to the public 7 days a week from 10AM to 5PM (holidays excluded).",John Heinz Pittsburgh Regional History Center,Pennsylvania,PA,-79.992179,40.446562,-79.9958864,40.44062479999999,True,True,1898/02/09,1,Morning,Ghost (Male),Accident,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,This_building__in_the_Stripped_District_of_Pittsbu.png,a black and white photo of a city street,"restaurant, eating house, eating place, eatery (0.28), bakery, bakeshop, bakehouse (0.28), library (0.10), cinema, movie theater, movie theatre, movie house, picture palace (0.07), bookshop, bookstore, bookstall (0.07)","['LOC', 'LOC', 'DATE', 'PERSON', 'ORDINAL', 'ORG', 'DATE', 'CARDINAL']","['the Stripped District', 'the Chautauqua Lake Ice Co', 'February 9, 1898', 'the John Heinz History Center', '5th', 'The History Center', 'the public 7 days', '10AM']",,,,"restaurant, eating house, eating place, eatery (0.28), bakery, bakeshop, bakehouse (0.28), library (0.10), cinema, movie theater, movie theatre, movie house, picture palace (0.07), bookshop, bookstore, bookstall (0.07)"
Pittsburgh,United States,"This isn't so much a report of a haunting as it is the clearing up of a false report. The report of the Steel Phantom ghost is completely inaccurate and just not possible as the Steel Phantom was built in the early 1990's, whereas Kennywood was built in 1898. This makes the stories time line false. I have personally never seen a news story involving any death with the building of the Steel Phantom.",Kennywood Park,Pennsylvania,PA,-79.8642859,40.3878537,-79.9958864,40.44062479999999,False,True,1898/05/30,1,Unknown,Ghost (Male),Death,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,This_isn_t_so_much_a_report_of_a_haunting_as_it_is.png,a large building with a clock on it,"church, church building (0.66), bell cote, bell cot (0.22), monastery (0.02), dome (0.02)","['ORG', 'ORG', 'DATE', 'ORG', 'DATE', 'ORG']","['the Steel Phantom', 'the Steel Phantom', ""the early 1990's"", 'Kennywood', '1898', 'the Steel Phantom']",Kennywood Park,40.38785,-79.86477,"church, church building (0.66), bell cote, bell cot (0.22), monastery (0.02), dome (0.02)"
Pittsburgh,United States,"formerly known as the Pittsburgh City Tuberculosis Sanatorium, 1915. The State got it in 1957. In 1974, It became a State Mental Hospital under the Department of Public Welfare and closed in 1982. While it was a TB hospital and sanitarium, over 2,000 deaths have been reported in numerous obituaries, the dept of public welfare closed the hospital because of out-dated medical practices where many died during operations. there were also reports of severe abuse to patients and multiple suicides.",Pittsburgh Job Corps Center/Leech Farm Tuberculosis Hospital and Sanitarium,Pennsylvania,PA,-79.90143859999999,40.4781325,-79.9958864,40.44062479999999,False,False,1915/03/13,1,Unknown,Other (Male),Suicide,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,formerly_known_as_the_Pittsburgh_City_Tuberculosis.png,a clock tower in the middle of a city .,palace (0.97),"['ORG', 'DATE', 'ORG', 'DATE', 'DATE', 'ORG', 'ORG', 'DATE', 'ORG', 'CARDINAL']","['the Pittsburgh City Tuberculosis Sanatorium', '1915', 'State', '1957', '1974', 'State Mental Hospital', 'the Department of Public Welfare', '1982', 'TB', 'over 2,000']",East Pittsburgh City Hall,40.3992,-79.83597,palace (0.97)
Pittsburgh,United States,"ALPHA-OMEGA WING - small child with a red ball in a standard hospital gown ""asks for her mother"" if you did not respond she would bounce the ball against your door for several nights. mist in the showers, you could usually hear water being turned on and off slightly numerous whispers crying screaming and sadistic laughing.",Pittsburgh Job Corps Center/Leech Farm Tuberculosis Hospital and Sanitarium,Pennsylvania,PA,-79.90143859999999,40.4781325,-79.9958864,40.44062479999999,True,False,1915/03/13,0,Night,Other (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,ALPHA_OMEGA_WING___small_child_with_a_red_ball_in.png,a black and white photo of a woman in a bathroom,"wardrobe, closet, press (0.14), sliding door (0.11), gown (0.07), television, television system (0.03), shower curtain (0.03)","['ORG', 'DATE']","['ALPHA-OMEGA WING', 'several nights']",,,,"wardrobe, closet, press (0.14), sliding door (0.11), gown (0.07), television, television system (0.03), shower curtain (0.03)"
Pittsburgh,United States,"LEECH FAMILY FARM HOUSE - Outside, court yards, walkways, and recreational areas -  Reports of shadow like figures that seem to vanish or walk straight through walls and the ghosts of several former patients.",Pittsburgh Job Corps Center/Leech Farm Tuberculosis Hospital and Sanitarium,Pennsylvania,PA,-79.90143859999999,40.4781325,-79.9958864,40.44062479999999,False,True,1915/03/13,0,Unknown,Ghost (Male),Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,LEECH_FAMILY_FARM_HOUSE___Outside__court_yards__wa.png,a red stop sign sitting on the side of a road .,"flagpole, flagstaff (0.19), boathouse (0.17), palace (0.09), library (0.04), window shade (0.04)",,,,,,"flagpole, flagstaff (0.19), boathouse (0.17), palace (0.09), library (0.04), window shade (0.04)"
Pittsburgh,United States,"LEECH FAMILY FARM HOUSE  - Also known as the home of the former head of administration of the Pittsburgh Sanitarium -  Reports of seeing the HOA on his front porch and in the window, the windows however have since been boarded. And violent flashing lights from the seams of the open wood panels. The former HOA's family got TB and died, and he died of influenza shortly after.",Pittsburgh Job Corps Center/Leech Farm Tuberculosis Hospital and Sanitarium,Pennsylvania,PA,-79.90143859999999,40.4781325,-79.9958864,40.44062479999999,False,True,1915/03/13,0,Unknown,Other (Male),Death,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,LEECH_FAMILY_FARM_HOUSE____Also_known_as_the_home.png,a house that is sitting in the grass .,"barn (0.86), church, church building (0.05)","['ORG', 'ORG', 'ORG', 'ORG']","['the Pittsburgh Sanitarium', 'HOA', 'HOA', 'TB']",Pittsburgh,40.44062,-79.99589,"barn (0.86), church, church building (0.05)"
Pittsburgh,United States,THIRD FLOOR - A man standing in the window with his hands against the window. Shadows moving rapidly from window to window (like they are going through the walls). A man jumping from the roof's smoke stack. And a figure in the bathroom of the third floor with black bumps on the visible portions of his body(black bumps are a visual sign of tuberculosis),Pittsburgh Job Corps Center/Leech Farm Tuberculosis Hospital and Sanitarium,Pennsylvania,PA,-79.90143859999999,40.4781325,-79.9958864,40.44062479999999,False,False,1915/03/13,0,Unknown,Other (Male),Unknown,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,THIRD_FLOOR___A_man_standing_in_the_window_with_hi.png,a teddy bear sitting in front of a window .,"prison, prison house (0.92)","['ORDINAL', 'ORDINAL']","['THIRD', 'third']",,,,"prison, prison house (0.92)"
Pittsburgh,United States,"Believed to be haunted by towns people who where killed in a flood. Apparitions of buildings have been reported. Cars that park nearby are said to have things missing after being parked there (license plates, antennas, hubcaps)",Livermore Cemetery,Pennsylvania,PA,-79.94971989999999,40.4672006,-79.9958864,40.44062479999999,False,False,2025/01/01,2,Unknown,Ghost (Male),Murder,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Believed_to_be_haunted_by_towns_people_who_where_k.png,a black and white photo of a boat in the water .,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.93)",['ORG'],['antennas'],Livermore Cemetery,40.81831,-105.26108,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon (0.93)"
Pittsburgh,United States,a ghost of a caring nun haunts the 6th floor of the old building.(use to be Devine Mercy Hospital) the 6th floor was the OB department until the late 60s when it closed. Her name is believed to be Sister Mary Loretta. She is always looking out for staff and others. And she has been said to have been many times my patients at night who tell other staff members that a nun was in there room and brought them a blanket or a water pitcher. There are no nuns at mercy providence who care for patients anymore.,Mercy Hospital,Pennsylvania,PA,-79.985372,40.436085,-79.9958864,40.44062479999999,False,False,2025/01/01,0,Night,"Ghost (Male, nun)",Supernatural,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,a_ghost_of_a_caring_nun_haunts_the_6th_floor_of_th.png,a black and white photo of a man standing in a room .,"prison, prison house (0.64), punching bag, punch bag, punching ball, punchball (0.09), turnstile (0.08), vault (0.03)","['ORDINAL', 'ORG', 'ORDINAL', 'ORG', 'DATE', 'PERSON', 'TIME']","['6th', 'Devine Mercy Hospital', '6th', 'OB', 'the late 60s', 'Mary Loretta', 'night']",Mercy Hospital and Medical Center Heliport,32.75116,-117.16114,"prison, prison house (0.64), punching bag, punch bag, punching ball, punchball (0.09), turnstile (0.08), vault (0.03)"
Pittsburgh,United States,"but there has been 3 sightings of a green floating man in the music room. Also, during extra-curricular activities, a floating face has been seen. Strange lights, noises, and glowing have also been seen.",Mifflin Elementary School,Pennsylvania,PA,-79.9148975,40.3698549,-79.9958864,40.44062479999999,True,True,1932/03/13,1,Unknown,Unknown (Male),Mystery,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,but_there_has_been_3_sightings_of_a_green_floating.png,a room with a window and a window .,"sliding door (0.32), shoji (0.06), crutch (0.04), spotlight, spot (0.04), vault (0.02)",['CARDINAL'],['3'],South Mifflin Elementary School,40.00451,-82.94463,"sliding door (0.32), shoji (0.06), crutch (0.04), spotlight, spot (0.04), vault (0.02)"
Pittsburgh,United States,Civil War soldiers walk the halls at night.,National Aviary,Pennsylvania,PA,-80.01034709999999,40.4535712,-79.9958864,40.44062479999999,False,False,0500/03/13,0,Night,"Unknown (Male, soldier)",Violence,"5,703",26.2,5.52,18.5%,5.5,7.9,1.8,3.9,45.4%,69.0%,52.4%,47.6%,81.7%,2.67%,149637.0,9.544,12.885,2.59,48587.07142857143,670.5,288389.0714285714,128.0,121.0,Above Average,144.0,53.0,33.0,19.0,11.0,16.0,10.0,11.83,Civil_War_soldiers_walk_the_halls_at_night_.png,a group of men standing next to each other .,"military uniform (0.65), rifle (0.06), pickelhaube (0.03), bearskin, busby, shako (0.03)",['TIME'],['night'],,,,"military uniform (0.65), rifle (0.06), pickelhaube (0.03), bearskin, busby, shako (0.03)"
